Название,Родительская категория>Подкатегория>Подподкатегория,Артикул,ЦенаRUB,
"Шлифовальный круг 225мм (упаковка 10шт) 6 отверстий, P120, арт.1201","Шлифовальные машины для стен, потолков и пола>Шлифовальные круги и сетки",1201,752.36,"https://dlt.by/image/catalog/tovar/slif_krugi/1.jpg,https://dlt.by/image/catalog/tovar/slif_krugi/2.jpg,https://dlt.by/image/catalog/tovar/slif_krugi/3.jpg,https://dlt.by/image/catalog/tovar/slif_krugi/4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"Пальчиковая алмазная фреза, 12мм, CERAMIC PRO DLT&9plitok, арт.0092",Алмазная оснастка>Алмазные коронки для плитки,92,1 324.15,"https://dlt.by/image/catalog/image/catalog/tovar/frez/palch/12mm/1.jpg,https://dlt.by/image/catalog/tovar/frez/palch/12mm/2.jpg,https://dlt.by/image/catalog/tovar/frez/palch/12mm/3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"Охлаждающий гель для сухого сверления DLT&9plitok, арт.0891",Алмазная оснастка>Алмазные коронки для плитки,891,601.88,"https://dlt.by/image/catalog/image/catalog/tovar/ohlazhdgel/1.jpg,https://dlt.by/image/catalog/tovar/ohlazhdgel/2.jpg,https://dlt.by/image/catalog/tovar/ohlazhdgel/3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"Героторная пара HYVST SPA 95, арт.0229",Штукатурные станции Шпатлевочные станции,229,11 736.75,"https://dlt.by/image/catalog/image/catalog/tovar/gerpara/1.jpg,https://dlt.by/image/catalog/tovar/gerpara/2.jpg,https://dlt.by/image/catalog/tovar/gerpara/3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"Набор алмазных коронок №1, арт.1013",Алмазная оснастка>Наборы алмазных коронок,1013,12 037.69,"https://dlt.by/image/catalog/tovar/nabordlti9plitok/new_zaglavnye/1.jpg,https://dlt.by/image/catalog/tovar/nabordlti9plitok/1new/1_1-.jpg,https://dlt.by/image/catalog/tovar/nabordlti9plitok/keysi/nom1/kejs_4_2_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"Набор алмазных коронок №2, арт.1014",Алмазная оснастка>Наборы алмазных коронок,1014,11 887.22,"https://dlt.by/image/catalog/tovar/nabordlti9plitok/new_zaglavnye/2-1.jpg,https://dlt.by/image/catalog/tovar/nabordlti9plitok/2new/2_1-.jpg,https://dlt.by/image/catalog/tovar/nabordlti9plitok/keysi/nom1/kejs_4_2_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"Набор алмазных коронок №3, арт.1015",Алмазная оснастка>Наборы алмазных коронок,1015,12 188.16,"https://dlt.by/image/catalog/tovar/nabordlti9plitok/new_zaglavnye/3-1.jpg,https://dlt.by/image/catalog/tovar/nabordlti9plitok/3new/2.jpg,https://dlt.by/image/catalog/tovar/nabordlti9plitok/keysi/nom1/kejs_4_2_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"Набор алмазных коронок №4, арт.1016",Алмазная оснастка>Наборы алмазных коронок,1016,12 489.10,"https://dlt.by/image/catalog/tovar/nabordlti9plitok/new_zaglavnye/4-1.jpg,https://dlt.by/image/catalog/tovar/nabordlti9plitok/4new/4_1-.jpg,https://dlt.by/image/catalog/tovar/nabordlti9plitok/keysi/nom1/kejs_4_2_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"Набор алмазных коронок №5, арт.1017",Алмазная оснастка>Наборы алмазных коронок,1017,13 241.46,"https://dlt.by/image/catalog/tovar/nabordlti9plitok/new_zaglavnye/5-1.jpg,https://dlt.by/image/catalog/tovar/nabordlti9plitok/5new/5_1-.jpg,https://dlt.by/image/catalog/tovar/nabordlti9plitok/keysi/nom1/kejs_4_2_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"Набор алмазных коронок №6, арт.1018",Алмазная оснастка>Наборы алмазных коронок,1018,5 266.49,"https://dlt.by/image/catalog/tovar/nabordlti9plitok/new_zaglavnye/6-1.jpg,https://dlt.by/image/catalog/tovar/nabordlti9plitok/6new/6_1-.jpg,https://dlt.by/image/catalog/tovar/nabordlti9plitok/keysi/nom2/kejs_6_2_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
